Banco;Sector;Entidad Responsable;Bpin;Nombre Proyecto;Estado;Horizonte;Valor Total;Localizaciones
SGR;Agricultura Y Desarrollo Rural;;2025N010040001;Apoyo Socioeconomico Como Estrategia  De Seguridad Alimentaria Y Nutricional  De Las Comunidades Negras  Con Gallinas Ponedoras En El Municipio   El Bagre;Aprobado;2025 - 2025;1156118550,00;1
SGR;Gobierno Territorial;Consejo Comunitario de Nueva Esperanza;2025N008160001;Fortalecimiento De Los Planes De Etnodesarrollo Capacidades De Gobernabilidad Y Planificación Dirigido A Las Formas Y Expresiones Organizativas Narp Del Municipio De  El Bagre Antioquia;Aprobado;2025 - 2025;1349678148,00;1
SGR;Gobierno Territorial;;2025N000830001;Fortalecimiento  Integral A La Consultiva Departamental Afrodescendiente Y A Las Comunidades Representadas En Ella Para La Incidencia Y El Desarrollo Territorial En  Antioquia;Formulación;2025 - 2025;1282200057,60;1
SGR;Educación;Asociación de Comunidades Negras, Afrodescendientes, Campesinas y Desplazados del Municipio de Arboletes, Oafdear;2025N00010571;Implementación De Ruta Integral Para El Fortalecimiento De La Educación Y El Desarrollo Territorial En El Municipio De  Arboletes;Formulación;2025 - 2051;214700000,00;1
SGR;Cultura;Forma o Expresion Organizativa Herencia y Futuro;2025N00010467;Recuperación Saberes Ancestrales Festival De Literatura Cuentos Mitos Leyendas Y Aventuras En Homenaje Al Legado Del Escrito Arnoldo Palacios En El Municipio De  Cértegui;Formulación;2025 - 2025;1890720752,00;14
SGR;Comercio, Industria Y Turismo;Consejo Comunitario Martin Luther King Esperanza;2025N00010378;Generación De Medios De Vida Al Rededor Del Turismo De Naturaleza En El Consejo Comunitario Martin Luther King Esperanza 2000 En El Municipio De  Carepa;Formulación;2025 - 2025;3080804303,00;1
SGR;Cultura;Corporacion Ideas A-z;2025N00010358;Adquisición Remodelación Y Adecuación De Inmueble En El Municipio De Bello Para El Funcionamiento Del Centro Cultural Afro  Bello;Formulación;2025 - 2036;2990000000,07;1
SGR;Inclusión Social Y Reconciliación;Asociación Afrodescendientes de Necocli, Afronec;2025N00010332;Fortalecimiento De Emprendimientos De Las Comunidades Negras Raizales Y Palenqueras En El Municipio De   Necoclí;Formulación;2025 - 2025;1417700000,00;1
SGR;Trabajo;Fundación Masakhane, Caminemos Juntos;2025N00010315;Fortalecimiento De La Productividad Y Competitividad De 42 Asociaciones Negras Afrocolombianas Raizales Y Palenqueras   Medellín;Formulación;2025 - 2025;1772141525,00;1
SGR;Agricultura Y Desarrollo Rural;Asociación Afrodescendientes de Necocli, Afronec;2025N00010260;Implementación De Un Sistema De Producción Avícola Como Estrategia Para El Fomento De La Agricultura Campesina Familiar Y Comunitaria De Familias Afrodescendientes En El Municipio De   Necoclí;Formulación;2025 - 2025;2999441742,00;1
SGR;Agricultura Y Desarrollo Rural;Asociación de Mujeres Cabeza de Familia Independencia ii Barrio de Julio, Asomucafa;2025N00010243;Implementación De 150 Hectáreas De Plátano Semitecnificado Para El Mejoramiento De La Seguridad Alimentaria En Elmunicipio De Murindómurindó  Murindó;Formulación;2025 - 2025;3000000000,00;1
SGR;Salud Y Protección Social;Consejo Comunitario por la Identidad Cultural de Mandé;2025N00010239;Diseño Y Definición De Acciones En Salud Para El Fortalecimiento De Estrategias De Promoción Y Prevención De Enfermedades Prevalentes En La Comunidad Negra Del Consejo Comunitario Por La Identidad Cultural De Mandé A Través De La Identificación De Necesidades En Salud De Las Familias  Urrao;Formulación;2025 - 2025;1823560000,00;1
SGR;Agricultura Y Desarrollo Rural;Corporación Antioqueña del Medio Ambiente;2025N00010236;Implementación De Un Sistema De Producción Avícola Como Estrategia Para El Fomento De La Agricultura Campesina Familiar Y Comunitaria De Familias Afrodescendientes Del Municipio De   Nechí;Formulación;2025 - 2025;2999441742,00;1
SGR;Ambiente Y Desarrollo Sostenible;Consejo Comunitario por el Desarrollo Integral, Pdi;2025N00010224;Restauración Ecológica Y Reforestación Sostenible En Zonas Degradadas Por Acciones Antrópicas En La Comunidad De Bartolo Municipio De   Murindó;Formulación;2025 - 2025;2810439328,41;1
SGR;Trabajo;Corporación de Comunidades Negras, Afrocolombianas, Raizales y Palenqueras, Orcoplu;2025N00010222;Fortalecimiento Institucional Dotación Y Desarrollo Sostenible Para Organizaciones Negras Afrocolombianas Raizales Y Palenqueras En Antioquia: Gobernanza Identidad Cultural Y Capacidad Instalada  Antioquia;Formulación;2025 - 2032;2837079281,05;1
SGR;Comercio, Industria Y Turismo;Comunidad Afrocolombiana de Caucasia-coafrodeca;2025N00010205;Fortalecimiento Empresarial Y Desarrollo De Habilidades Económicas Para Mujeres Pertenecientes A Comunidades Afrodescendientes De  Caucasia Antioquia;Formulación;2025 - 2025;1559050798,00;1
SGR;Deporte Y Recreación;Fundación Deportiva Unión Urabá Fc en las Manos de Dios - Fduufc;2025N00010201;Implementación De Procesos Formativos En Futbol Con Un Enfoque Pedagógico E Inclusivo Que Permita No Solo El Desarrollo De Habilidades Técnicas Y Competencias Sociales Para Niños Niñas Adolescentes Y Jóvenes Del Municipio De  Turbo;Formulación;2025 - 2025;2974575183,00;1
SGR;Deporte Y Recreación;Fundación Deportiva Unión Urabá Fc en las Manos de Dios - Fduufc;2025N00010198;Implementación De Procesos Formativos En Futbol Con Un Enfoque Pedagógico E Inclusivo Que Permita No Solo El Desarrollo De Habilidades Técnicas Y Competencias Sociales Para Niños Niñas Adolescentes Y Jóvenes Del Municipio De   Turbo;Formulación;2025 - 2025;2974575183,00;1
SGR;Educación;Corporación Nelson Mandela - Cormandela;2025N00010153;Dotación Y Montaje De Aulas De Robótica Y Automatización E Implementación Del Programa De Sensibilización Científica Para Los Estudiantes De 5 A 11 Grado Como Instrumento Para La Democratización De La Ciencia Y El Conocimiento En La Institución Educativa Ie Rodrigo Arenas Betancur  Medellín;Formulación;2025 - 2025;545797403,00;1
